Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Album Image URL,Track Duration (ms)
Believer,Imagine Dragons,Evolve,Imagine Dragons,2017-06-23,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,204346
As It Was,Harry Styles,Harry s House,Harry Styles,2022-05-20,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,167303
Dusk Till Dawn (feat. Sia) - Radio Edit,"ZAYN, Sia",Icarus Falls,ZAYN,2018-12-14,https://i.scdn.co/image/ab67616d0000b2732bdcb339402ebd78651f09c8,239000
Style,Taylor Swift,1989 (Deluxe),Taylor Swift,2014-01-01,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,231000
End Game,"Taylor Swift, Ed Sheeran, Future",reputation,Taylor Swift,2017-11-10,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,244826
You Belong With Me (Taylor s Version),Taylor Swift,Fearless (Taylor s Version): The I Remember What You Said Last Night Chapter,Taylor Swift,2021-05-24,https://i.scdn.co/image/ab67616d0000b2739b70e3eec70566056e113166,231124
22 (Taylor s Version),Taylor Swift,Red (Taylor s Version),Taylor Swift,2021-11-12,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,230960
I Knew You Were Trouble (Taylor s Version),Taylor Swift,Red (Taylor s Version),Taylor Swift,2021-11-12,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,219760
Shake It Off,Taylor Swift,1989 (Deluxe),Taylor Swift,2014-01-01,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,219200
No Control,One Direction,FOUR (Deluxe),One Direction,2014-11-17,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,199720
Heart Attack,One Direction,Take Me Home (Expanded Edition),One Direction,2012-11-12,https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf,176120
Kiss You,One Direction,Take Me Home (Expanded Edition),One Direction,2012-11-12,https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf,182866
Live While We re Young,One Direction,Take Me Home (Expanded Edition),One Direction,2012-11-12,https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf,200213
Up All Night,One Direction,Up All Night,One Direction,2012-05-25,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e,194693
One Thing,One Direction,Up All Night,One Direction,2012-05-25,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e,197600
History,One Direction,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,187426
Infinity,One Direction,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,249480
Best Song Ever,One Direction,Midnight Memories (Deluxe),One Direction,2013-11-25,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,200106
Perfect,One Direction,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,230333
Story of My Life,One Direction,Midnight Memories (Deluxe),One Direction,2013-11-25,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,245493
Drag Me Down,One Direction,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,192120
Steal My Girl,One Direction,FOUR (Deluxe),One Direction,2014-11-17,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,228133
What Makes You Beautiful,One Direction,Up All Night,One Direction,2012-05-25,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e,199986
Night Changes,One Direction,FOUR (Deluxe),One Direction,2014-11-17,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,226600
We Found Love,"Rihanna, Calvin Harris",Talk That Talk,Rihanna,2011-11-18,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46,215226
Lush Life,Zara Larsson,So Good,Zara Larsson,2017-03-17,https://i.scdn.co/image/ab67616d0000b2739e1683774b22648f4f178ed3,201122
Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",Confessions (Expanded Edition),USHER,2004-03-23,https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da,250373
One Last Time,Ariana Grande,My Everything (Deluxe),Ariana Grande,2014-08-25,https://i.scdn.co/image/ab67616d0000b273deec12a28d1e336c5052e9aa,197266
